x_m,p_over_rho_m2_s2
5.244000,4.242428
5.250000,4.242312
5.256000,4.242196
5.262000,4.242080
5.268000,4.241965
5.274000,4.241849
5.280000,4.241733
5.286000,4.241617
5.292000,4.241501
5.298000,4.241386
5.304000,4.241270
5.310000,4.241154
5.316000,4.241038
5.322000,4.240922
5.328000,4.240806
5.334000,4.240691
5.340000,4.240575
5.346000,4.240459
5.352000,4.240343
5.358000,4.240227
5.364000,4.240111
5.370000,4.239996
5.376000,4.239880
5.382000,4.239764
5.388000,4.239648
5.394000,4.239532
5.400000,4.239417
5.406000,4.239301
5.412000,4.239185
5.418000,4.239069
5.424000,4.238953
5.430000,4.238837
5.436000,4.238722
5.442000,4.238606
5.448000,4.238490
5.454000,4.238374
5.460000,4.238258
5.466000,4.238143
5.472000,4.238027
5.478000,4.237911
5.484000,4.237795
5.490000,4.237679
5.496000,4.237563
5.502000,4.237448
5.508000,4.237332
5.514000,4.237216
5.520000,4.237100
5.526000,4.236984
5.532000,4.236868
5.538000,4.236753
5.544000,4.236637
5.550000,4.236521
5.556000,4.236405
5.562000,4.236289
5.568000,4.236174
5.574000,4.236058
5.580000,4.235942
5.586000,4.235826
5.592000,4.235710
5.598000,4.235594
5.604000,4.235479
5.610000,4.235363
5.616000,4.235247
5.622000,4.235131
5.628000,4.235015
5.634000,4.234899
5.640000,4.234784
5.646000,4.234668
5.652000,4.234552
5.658000,4.234436
5.664000,4.234320
5.670000,4.234205
5.676000,4.234089
5.682000,4.233973
5.688000,4.233857
5.694000,4.233741
5.700000,4.233625
5.706000,4.233510
5.712000,4.233394
5.718000,4.233278
5.724000,4.233162
5.730000,4.233046
5.736000,4.232930
5.742000,4.232815
5.748000,4.232699
5.754000,4.232583
5.760000,4.232467
5.766000,4.232351
5.772000,4.232236
5.778000,4.232120
5.784000,4.232004
5.790000,4.231888
5.796000,4.231772
5.802000,4.231656
5.808000,4.231541
5.814000,4.231425
5.820000,4.231309
5.826000,4.231193
5.832000,4.231077
5.838000,4.230961
5.844000,4.230846
5.850000,4.230730
5.856000,4.230614
5.862000,4.230498
5.868000,4.230382
5.874000,4.230267
5.880000,4.230151
5.886000,4.230035
5.892000,4.229919
5.898000,4.229803
5.904000,4.229687
5.910000,4.229572
5.916000,4.229456
5.922000,4.229340
5.928000,4.229224
5.934000,4.229108
