x,r,z,tau_x_over_rho,tau_r_over_rho,tau_z_over_rho,wall_yplus
7.74697292905,0.099939082702,0.0,-0.001120973193,-5.71611088167e-10,2.03123634012e-16,1.07586848833
7.82929723873,0.099939082702,0.0,-0.00112112164638,-4.36037948411e-10,8.42047133393e-17,1.07593972597
7.91162154841,0.099939082702,0.0,-0.00112118883481,-3.82706485965e-10,4.256094311e-17,1.07597196586
7.9939458581,0.099939082702,0.0,-0.0011213157553,-3.52129562838e-10,1.29802169406e-16,1.07603286507
8.07627016778,0.099939082702,0.0,-0.00112137443916,-2.89211409392e-10,5.5714926978e-17,1.0760610217
8.15859447746,0.099939082702,0.0,-0.00112146757238,-2.65334290092e-10,1.24648276577e-16,1.07610570567
8.24091878714,0.099939082702,0.0,-0.00112151708074,-1.5160799605e-10,1.73688593704e-16,1.07612945836
8.32324309683,0.099939082702,0.0,-0.00112155497378,-2.53635240352e-10,1.93206005322e-16,1.07614763799
8.40556740651,0.099939082702,0.0,-0.00112164342087,-2.63905289706e-10,2.26177136362e-16,1.07619007017
8.48789171619,0.099939082702,0.0,-0.00112168974775,-7.15188234079e-11,7.03755729255e-17,1.07621229466
8.57021602588,0.099939082702,0.0,-0.00112169526653,9.69876824022e-11,8.87515855969e-17,1.07621494223
8.65254033556,0.099939082702,0.0,-0.0011216559427,1.40482982302e-10,1.38729720137e-16,1.07619607743
8.73486464524,0.099939082702,0.0,-0.00112163022879,7.8242980455e-11,2.17412443634e-16,1.0761837415
8.81718895493,0.099939082702,0.0,-0.00112161324594,5.67205865021e-11,9.67680587515e-17,1.07617559406
8.89951326461,0.099939082702,0.0,-0.00112159315002,7.09883157223e-11,1.53457908707e-16,1.07616595311
8.98183757429,0.099939082702,0.0,-0.00112157786538,6.19176192987e-11,2.44218733142e-16,1.07615862034
9.06416188397,0.099939082702,0.0,-0.00112156067385,1.82482525478e-11,2.18989632448e-16,1.07615037261
9.14648619366,0.099939082702,0.0,-0.00112154656488,4.69536698957e-11,1.37194853822e-16,1.07614360368
9.22881050334,0.099939082702,0.0,-0.00112152666563,9.00081907764e-11,1.78949112151e-16,1.07613405683
9.31113481302,0.099939082702,0.0,-0.00112150244071,5.88826909544e-11,2.69140507322e-16,1.07612243458
9.3934591227,0.099939082702,0.0,-0.00112148867955,3.97981772e-11,2.38015195703e-16,1.07611583236
9.47578343239,0.099939082702,0.0,-0.00112146783224,8.12744676997e-11,1.55113282236e-16,1.07610583036
9.55810774207,0.099939082702,0.0,-0.00112144022776,9.42039757544e-11,1.96044889599e-16,1.07609258634
9.64043205175,0.099939082702,0.0,-0.00112141198772,1.05385123296e-10,2.29282083766e-16,1.07607903719
9.72275636143,0.099939082702,0.0,-0.00112138336595,1.43044867927e-10,2.61587416426e-16,1.07606530476
9.80508067112,0.099939082702,0.0,-0.00112134180406,6.72707728726e-11,9.57823130185e-17,1.0760453635
9.8874049808,0.099939082702,0.0,-0.00112134526077,-9.01393431287e-11,2.18456662823e-16,1.07604702207
9.96972929047,0.099939082702,0.0,-0.00112138344407,-3.4209558605e-10,1.14372509614e-16,1.0760653424
10.0520536001,0.099939082702,0.0,-0.00112151639961,-7.2759722179e-10,1.69619700413e-16,1.07612913162
10.1343779099,0.099939082702,0.0,-0.0011217367778,-5.79416923471e-10,1.62427281687e-16,1.07623485598
10.2167022196,0.099939082702,0.0,-0.00112181229491,-1.09505035048e-10,1.13008337986e-16,1.07627108231
10.2990265292,0.099939082702,0.0,-0.00112182416392,6.53187474964e-11,1.38110560793e-16,1.07627677602
10.3813508389,0.099939082702,0.0,-0.00112180267111,9.18613865738e-11,1.90164763032e-16,1.07626646594
10.4636751486,0.099939082702,0.0,-0.00112179507747,3.37279870833e-11,1.57177508737e-16,1.07626282324
10.5459994582,0.099939082702,0.0,-0.00112179446917,1.45650786557e-11,1.39421434061e-16,1.07626253143
10.628323768,0.099939082702,0.0,-0.00112179572158,-2.862988614e-11,5.79030733942e-17,1.0762631322
12.3974994809,0.049969541351,0.0,-0.0196062028938,1.30597337045e-06,6.8562777558e-16,1.23243590835
12.4103234296,0.049969541351,0.0,-0.0194196167786,1.23573374198e-06,6.71576649909e-16,1.22655753464
12.4234643142,0.049969541351,0.0,-0.019236903975,1.16978459004e-06,6.56585637931e-16,1.22077375882
12.4369299674,0.049969541351,0.0,-0.0190580304174,1.10819276638e-06,6.53065817781e-16,1.21508484571
12.4507284157,0.049969541351,0.0,-0.0188829495695,1.05054392498e-06,6.16842198446e-16,1.20949064359
12.464867884,0.049969541351,0.0,-0.0187116173774,9.95957014756e-07,6.11922167389e-16,1.20399105527
12.4793568003,0.049969541351,0.0,-0.0185440089414,9.44655134746e-07,6.10480461648e-16,1.19858657841
12.494203801,0.049969541351,0.0,-0.0183800928751,8.96268996135e-07,5.83636122452e-16,1.19327748651
12.5094177359,0.049969541351,0.0,-0.0182198431487,8.50327543111e-07,5.8760485024e-16,1.18806420963
12.5250076736,0.049969541351,0.0,-0.0180632374151,8.06909846742e-07,5.91091061015e-16,1.18294728277
12.5409829068,0.049969541351,0.0,-0.0179102415942,7.65745550588e-07,5.58452950519e-16,1.1779268409
12.5573529578,0.049969541351,0.0,-0.0177608572675,7.2639022726e-07,5.44775927023e-16,1.17300417509
12.5741275843,0.049969541351,0.0,-0.017615048547,6.89213050731e-07,5.20645138655e-16,1.16817933139
12.5913167851,0.049969541351,0.0,-0.0174727789448,6.53916886613e-07,5.19450348043e-16,1.16345231205
12.608930806,0.049969541351,0.0,-0.017334013001,6.20182694298e-07,5.07251237689e-16,1.15882312886
12.6269801464,0.049969541351,0.0,-0.0171987507804,5.88234330054e-07,5.02187629681e-16,1.1542929611
12.6454755649,0.049969541351,0.0,-0.0170669292032,5.57811905328e-07,5.00217020133e-16,1.1498608541
12.6644280859,0.049969541351,0.0,-0.0169385549605,5.28737952897e-07,4.86270604857e-16,1.14552817232
12.6838490064,0.049969541351,0.0,-0.0168135644281,5.01160999981e-07,4.77123654786e-16,1.1412938887
12.7037499028,0.049969541351,0.0,-0.0166919681148,4.74762707147e-07,4.55437168623e-16,1.1371594604
12.7241426373,0.049969541351,0.0,-0.0165736940631,4.49635012588e-07,4.4105034495e-16,1.1331235206
12.7450393653,0.049969541351,0.0,-0.0164587592495,4.25737157518e-07,4.39882603022e-16,1.12918770773
12.7664525428,0.049969541351,0.0,-0.0163470779602,4.02804292562e-07,4.29985800734e-16,1.12535012201
12.7883949335,0.049969541351,0.0,-0.0162386915056,3.81065645683e-07,4.27609322796e-16,1.12161319837
12.8108796164,0.049969541351,0.0,-0.016133477065,3.60223756633e-07,4.19171081124e-16,1.11797369078
12.8339199941,0.049969541351,0.0,-0.0160315291735,3.40389772093e-07,4.17373997911e-16,1.11443583947
