station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.049925454,0.08852173,3.9630565e-08,-6.9663623e-14,0.00017926621,0.097916448,9.9186294e-10
expansion_4D,2.6,0.049923278,0.091640019,4.1023204e-08,-7.3098498e-14,0.00018557939,0.10136601,1.0268044e-09
expansion_4D,2.6,0.049920995,0.094912197,4.2484571e-08,-7.6702886e-14,0.00019220414,0.10498581,1.0634703e-09
expansion_4D,2.6,0.0499186,0.098345858,4.4018056e-08,-8.0485152e-14,0.00019915582,0.10878425,1.1019456e-09
expansion_4D,2.6,0.049916086,0.10181806,4.5569304e-08,-8.445265e-14,0.00020618545,0.11262528,1.1408525e-09
expansion_4D,2.6,0.049913448,0.10367448,4.6406495e-08,-8.8596507e-14,0.00020994293,0.11467823,1.1616505e-09
expansion_4D,2.6,0.049910679,0.10562252,4.7285002e-08,-9.2944865e-14,0.00021388584,0.11683249,1.1834749e-09
expansion_4D,2.6,0.049907774,0.1076667,4.8206863e-08,-9.7507816e-14,0.00021802334,0.11909307,1.2063763e-09
expansion_4D,2.6,0.049904726,0.10981176,4.9174218e-08,-1.0229595e-13,0.00022236502,0.12146521,1.230408e-09
expansion_4D,2.6,0.049901528,0.11206268,5.0189313e-08,-1.0732038e-13,0.00022692097,0.12395441,1.2556256e-09
expansion_4D,2.6,0.049898171,0.11442468,5.1254503e-08,-1.1259277e-13,0.00023170175,0.12656646,1.2820877e-09
expansion_4D,2.6,0.049894649,0.11690325,5.237226e-08,-1.1812535e-13,0.00023671847,0.12930741,1.3098558e-09
expansion_4D,2.6,0.049890953,0.11950414,5.3545179e-08,-1.2393096e-13,0.00024198276,0.13218363,1.3389941e-09
expansion_4D,2.6,0.049887075,0.12223338,5.4775982e-08,-1.3002309e-13,0.00024750685,0.13520179,1.3695705e-09
expansion_4D,2.6,0.049883005,0.12509731,5.6067526e-08,-1.3641586e-13,0.00025330356,0.1383689,1.4016558e-09
expansion_4D,2.6,0.049878734,0.13039456,7.7711873e-08,-1.3435977e-13,0.0003263212,0.14954214,3.3741682e-09
expansion_4D,2.6,0.049874253,0.13722979,1.1172459e-07,-1.273208e-13,0.00044022239,0.16563885,6.5238847e-09
