x [m],p_coarse/rho [m2/s2],p_medium/rho [m2/s2],p_fine/rho [m2/s2],p_local,p_average,grid trend,order status,GCI absolute [m2/s2],GCI relative [%],lower/rho [m2/s2],upper/rho [m2/s2]
0.22518765638,6.29253519363,5.89334425564,5.68688800499,1.6653040841773277,1.611553950700987,Monotonic convergence,Included,0.28083727708658635,4.938329660091138,5.406050727903414,5.967725282076587
0.237698081735,6.28580002046,5.88615968562,5.68040395109,1.6765604663316378,1.611553950700987,Monotonic convergence,Included,0.27988438251896497,4.927191533011637,5.400519568571035,5.960288333608965
0.250208507089,6.2790648473,5.87897511561,5.67347849714,1.68249231358268,1.611553950700987,Monotonic convergence,Included,0.27953191341952816,4.926993440804265,5.393946583720472,5.953010410559528
0.262718932444,6.27232967414,5.87179054559,5.66611980855,1.6831782146248444,1.611553950700987,Monotonic convergence,Included,0.2797687625579518,4.937572307168467,5.386351045992049,5.945888571107952
0.275229357798,6.26559450098,5.86460597558,5.65876111995,1.6838627667578272,1.611553950700987,Monotonic convergence,Included,0.2800056117235833,4.9481786876710805,5.378755508226417,5.938766731673583
0.287739783153,6.25885932781,5.85742140556,5.65139111204,1.684409269112567,1.611553950700987,Monotonic convergence,Included,0.2802578582500631,4.959095074007319,5.371133253789937,5.9316489702900626
0.300250208507,6.25212415465,5.84778683895,5.64333768655,1.7214850202285594,1.611553950700987,Monotonic convergence,Included,0.27810707150743647,4.928060076402313,5.365230615042563,5.9214447580574365
0.312760633862,6.24538898149,5.83812868886,5.63530075793,1.759218316557083,1.611553950700987,Monotonic convergence,Included,0.2759017644665714,4.895954560691765,5.3593989934634285,5.911202522396571
0.325271059216,6.2388100675,5.82847053878,5.62726382932,1.7979311205457127,1.611553950700987,Monotonic convergence,Included,0.2736964574257051,4.8637573379739445,5.353567371894295,5.900960286745706
0.33778148457,6.23060135645,5.81881238869,5.61927280323,1.8274093077270923,1.611553950700987,Monotonic convergence,Included,0.2714287103206798,4.830317370686479,5.3478440929093205,5.89070151355068
0.350291909925,6.22237088244,5.8091542386,5.61144059934,1.8588980660860315,1.611553950700987,Monotonic convergence,Included,0.2689449213469869,4.792796369948554,5.342495677993013,5.880385520686986
0.362802335279,6.21414040842,5.79995077613,5.60360839545,1.8820700931933214,1.611553950700987,Monotonic convergence,Included,0.2670796325772047,4.7662080168569085,5.3365287628727955,5.870688028027205
0.375312760634,6.2059099344,5.7915645112,5.59577619157,1.8900382660979347,1.611553950700987,Monotonic convergence,Included,0.2663259571804472,4.759410456437939,5.329450234389553,5.862102148750447
0.387823185988,6.19767946039,5.78317824628,5.5880614588,1.8995238496378408,1.611553950700987,Monotonic convergence,Included,0.2654124887827194,4.7496343900218125,5.322648970017281,5.85347394758272
0.400333611343,6.18944898637,5.77479198135,5.58038369228,1.9095117675408095,1.611553950700987,Monotonic convergence,Included,0.26444873610553915,4.7388988049581995,5.315934956174461,5.844832428385539
0.412844036697,6.18121851236,5.76640571642,5.57270592577,1.9195324518912085,1.611553950700987,Monotonic convergence,Included,0.2634849834147561,4.728133637849362,5.309220942355244,5.836190909184756
0.425354462052,6.17251990265,5.75808026631,5.5650360781,1.9257299796827694,1.611553950700987,Monotonic convergence,Included,0.2625931838033551,4.71862500293096,5.302442894296645,5.827629261903356
0.437864887406,6.16264780306,5.7501097483,5.55742099886,1.91887156194082,1.611553950700987,Monotonic convergence,Included,0.2621096893292306,4.716390739211542,5.295311309530769,5.81953068818923
0.450375312761,6.1527878213,5.7421295987,5.54980591961,1.9122251953294611,1.611553950700987,Monotonic convergence,Included,0.2616130932575871,4.713914271005199,5.288192826352413,5.811419012867587
0.462885738115,6.14292783953,5.7341494491,5.54219084036,1.9055356772792873,1.611553950700987,Monotonic convergence,Included,0.2611164971859435,4.71143099736678,5.2810743431740566,5.803307337545943
0.47539616347,6.13306785777,5.7261692995,5.53464168172,1.8996589309398852,1.611553950700987,Monotonic convergence,Included,0.26053023095629796,4.707264642204136,5.274111450763702,5.795171912676298
0.487906588824,6.123207876,5.7181891499,5.52712480215,1.8941620805833732,1.611553950700987,Monotonic convergence,Included,0.25990005631459223,4.7022650223764355,5.267224745835408,5.7870248584645925
0.500417014178,6.11334789423,5.7101612879,5.51960792258,1.889543799185679,1.611553950700987,Monotonic convergence,Included,0.25920497968780964,4.696075940963772,5.26040294289219,5.778812902267809
0.512927439533,6.10348791247,5.70214133322,5.51212485937,1.8851823033708468,1.611553950700987,Monotonic convergence,Included,0.258474659641547,4.6892018275342355,5.253650199728453,5.770599519011547
0.525437864887,6.09399677588,5.69412137854,5.50472921449,1.8842332202494403,1.611553950700987,Monotonic convergence,Included,0.2576254266261334,4.680074470293482,5.247103787863867,5.762354641116134
0.537948290242,6.08512862163,5.68610142386,5.49733356961,1.8871657459449196,1.611553950700987,Monotonic convergence,Included,0.2567761936107198,4.670922554712946,5.2405573759992805,5.75410976322072
